trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.6, 'e': 0.5309055429551132}",25,7,-58.34776171008191,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 0}",1
64,False,"{'a': 0.6, 'e': 0.525596487525562}",30,8,-62.81292803323118,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 1}",1
65,False,"{'a': 0.6, 'e': 0.5203405226503064}",25,15,-35.74017735274026,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.6, 'e': 0.5151371174238033}",25,16,16.477988087760913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.6, 'e': 0.5099857462495653}",20,12,-80.20376427115195,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.6, 'e': 0.5048858887870696}",30,17,-13.00654952310487,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
69,False,"{'a': 0.6, 'e': 0.4998370298991989}",25,11,-114.3041585803465,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
70,False,"{'a': 0.6, 'e': 0.49483865960020695}",20,8,-54.34743665667344,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.6, 'e': 0.4898902730042049}",20,2,-89.12684389975301,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
72,False,"{'a': 0.6, 'e': 0.48499137027416284}",20,10,-36.78666888749938,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
73,False,"{'a': 0.6, 'e': 0.4801414565714212}",20,6,-33.39305535300987,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
74,False,"{'a': 0.6, 'e': 0.47534004200570695}",35,18,-100.95357747587146,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 2}",1
75,False,"{'a': 0.6, 'e': 0.4705866415856499}",20,13,-31.189729631493933,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.6, 'e': 0.46588077516979337}",30,17,-61.79824899595328,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.6, 'e': 0.46122196741809546}",25,13,0.2654018468613968,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.6, 'e': 0.4566097477439145}",25,8,-70.15545193251592,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
79,False,"{'a': 0.6, 'e': 0.45204365026647536}",20,12,12.936487935980603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.6, 'e': 0.4475232137638106}",25,12,-44.063368237691776,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 0}",1
81,False,"{'a': 0.6, 'e': 0.4430479816261725}",20,10,-16.6290787272014,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
82,False,"{'a': 0.6, 'e': 0.43861750180991077}",35,12,-113.89698826618776,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 1}",1
83,False,"{'a': 0.6, 'e': 0.43423132679181164}",25,20,11.140004854614817,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.6, 'e': 0.4298890135238935}",20,14,-10.872301316289079,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.6, 'e': 0.4255901233886546}",35,28,15.158659469847848,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.6, 'e': 0.421334222154768}",25,18,1.8196791425265957,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.6, 'e': 0.41712087993322033}",20,15,-0.38958213690791776,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.6, 'e': 0.41294967113388814}",20,6,-62.639958497373165,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
89,False,"{'a': 0.6, 'e': 0.40882017442254925}",20,12,-49.72360482690758,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
90,False,"{'a': 0.6, 'e': 0.4047319726783238}",25,11,1.8739601580228162,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.6, 'e': 0.40068465295154054}",25,11,-93.932893921386,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 2}",1
92,False,"{'a': 0.6, 'e': 0.3966778064220251}",30,21,7.0034183206507095,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.6, 'e': 0.39271102835780486}",30,11,-147.98582009892283,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 3}",1
94,False,"{'a': 0.6, 'e': 0.3887839180742268}",20,12,13.676536778747977,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.6, 'e': 0.38489607889348454}",20,10,-4.911254949002688,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.6, 'e': 0.38104711810454966}",25,15,-36.240254285402635,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
97,False,"{'a': 0.6, 'e': 0.37723664692350417}",20,13,-11.829969284419377,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.6, 'e': 0.37346428045426916}",25,17,16.88802567300457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.6, 'e': 0.36972963764972644}",30,3,-43.27115261264098,"{0: 22, 1: 0, 2: 2, 3: 3, 4: 0}",1
100,False,"{'a': 0.6, 'e': 0.3660323412732292}",20,5,-23.157732559763424,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.6, 'e': 0.3623720178604969}",35,20,27.72315358238431,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.6, 'e': 0.3587482976818919}",25,20,11.117701705645239,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.6, 'e': 0.355160814705073}",25,13,-78.4218200019347,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
104,False,"{'a': 0.6, 'e': 0.35160920655802225}",20,8,-54.96107089231227,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
105,False,"{'a': 0.6, 'e': 0.348093114492442}",25,19,9.873340046006843,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.6, 'e': 0.3446121833475176}",30,19,-14.889743497851386,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.6, 'e': 0.34116606151404244}",25,20,11.444931166074156,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.6, 'e': 0.337754400898902}",20,10,-4.2246307179511104,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.6, 'e': 0.334376856889913}",20,11,-11.787902246819591,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.6, 'e': 0.33103308832101386}",20,10,6.429926661907222,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.3277227574378037}",30,10,-30.42911308965679,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.6, 'e': 0.3244455298634257}",20,12,0.5920897917086796,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.3212010745647914}",25,12,12.504170456690833,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.3179890638191435}",30,14,-55.975107878144044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
115,False,"{'a': 0.6, 'e': 0.31480917318095203}",30,7,-91.11164471254959,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 2}",1
116,False,"{'a': 0.6, 'e': 0.3116610814491425}",25,12,-0.3136094771459279,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.30854447063465107}",20,7,-63.4907334359573,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 1}",1
118,False,"{'a': 0.6, 'e': 0.3054590259283046}",20,5,-76.24259819285308,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
119,False,"{'a': 0.6, 'e': 0.30240443566902153}",20,16,5.999215429079277,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
